Bioarxiv Title,Bioarxiv Abstract
Interpretable deep learning framework for understanding molecular changes in human brains with Alzheimer’s disease: implications for microglia activation and sex differences,"INTRODUCTION The objective of this study is to characterize the dysregulation of gene expression in AD affected brain tissues through an interpretable deep learning framework.METHODS We trained multi-layer perceptron models for the classification of neuropathologically confirmed AD vs. controls using transcriptomic data from three brain regions of ROSMAP study. The disease spectrum was then modeled as a progressive trajectory. SHAP value was derived to explain model predictions and identify significantly implicated genes for subsequent gene co-expression network analysis.RESULTS The models achieved excellent performance in classification and prediction in two external datasets from Mayo RNA-seq cohort and Mount Sinai Brain Bank cohort. SHAP explainer revealed common and specific transcriptomic signatures from different brain regions.DISCUSSION We identified common gene signatures among different brain regions in microglia and sex specific modules in neurons implicated in AD. This work paves the way for utilizing artificial intelligence approaches in studying AD at the molecular level.Research-in-ContextSystematic review: Postmortem brain transcriptomes have been analyzed to study the molecular changes associated with Alzheimer’s disease, usually by a direct contrast approach such as differential gene expression analysis. Nuanced gene regulatory networks thus cannot be easily pinpointed from convoluted data such as those from bulk-tissue profiling. We applied a novel interpretable deep learning approach to dissect the RNA-seq data collected from three different brain regions of a large clinical cohort and identified significant genes for network analysis implicated for AD.Interpretation: Our models successfully predicted neuropathological and clinical traits in both internal and external validations. We corroborated known microglial biology in addition to revealing novel sex chromosome-linked gene contributing to sex dimorphism in AD.Future directions: The framework could have broad utility for interpreting multi-omic data such as those from single-cell profiling, to advance our understanding of molecular mechanisms of complex human disease such as AD.HighlightsWe applied novel interpretable deep learning methods to postmortem brain transcriptomes from three different brain regionsWe interpreted the models to identify genes most strongly implicated in ADNetwork analysis corroborated known microglial biology and revealed novel sex specific transcriptional factors associated with neuronal loss in AD"
Continuous Tracking using Deep Learning-based Decoding for Non-invasive Brain-Computer Interface,"Brain-computer interfaces (BCI) using electroencephalography (EEG) provide a non-invasive method for users to interact with external devices without the need for muscle activation. While noninvasive BCIs have the potential to improve the lives of both healthy and motor impaired individuals, they currently have limited applications due to inconsistent performance and low degrees of freedom. In this study, we use deep-learning (DL)-based decoders for online Continuous Pursuit (CP), a complex BCI task requiring the user to track an object in 2D space. We developed a new labelling system to use CP data for supervised learning, trained DL-based decoders based on two architectures, including a newly proposed adaptation of the PointNet architecture, and evaluated the performance over several online sessions. We rigorously evaluated the DL-based decoders in a total of 28 human subjects, and found that the DL-based models improved throughout the sessions as more training data became available and significantly outperformed a traditional BCI decoder by the last session. We also performed additional experiments to test an implementation of transfer learning by pre-training models on data from other subjects, and mid-session training to reduce inter-session variability. The results from these experiments show that pre-training did not significantly improve performance, but updating the models mid-session may have some benefit. Overall, these findings support the use of DL-based decoders for improving BCI performance in complex tasks like CP, which can expand the potential applications of BCI devices and help improve the lives of both healthy individuals and motor-impaired patients."
Inference of drug off-target effects on cellular signaling using Interactome-Based Deep Learning,"Many diseases emerge from dysregulated cellular signaling, and drugs are often designed to target specific nodes in cellular networks e.g. signaling proteins, or transcription factors. However, off-target effects are common and may ultimately result in failed clinical trials. Computational modeling of the cell’s transcriptional response to drugs could improve our understanding of their mechanisms of action. Here we develop such an approach based on ensembles of artificial neural networks, that simultaneously infer drug-target interactions and their downstream effects on intracellular signaling. Applied to gene expression data from different cell lines, it outperforms basic machine learning approaches in predicting transcription factors’ activity, while recovering most known drug-target interactions and inferring many new, which we validate in an independent dataset. As a case study, we explore the inferred interactions of the drug Lestaurtinib and its effects on downstream signaling. Beyond its intended target FLT3 the model predicts an inhibition of CDK2 that enhances downregulation of the cell cycle-critical transcription factor FOXM1, corroborating literature findings. Our approach can therefore enhance our understanding of drug signaling for therapeutic design."
Accurate staging of chick embryonic tissues via deep learning,"ABSTRACTRecent work has indicated a need for increased temporal resolution for studies of the early chick brain. Over a 10-hour period, the developmental potential of progenitor cells in the HH10 brain changes, and concomitantly, the brain undergoes subtle changes in morphology. We asked if we could train a deep convolutional neural network to sub-stage HH10 brains from a small dataset (<200 images). By augmenting our images with a combination of biologically informed transformations and data-driven preprocessing steps, we successfully trained a classifier to sub-stage HH10 brains to 87.1% test accuracy. To determine whether our classifier could be generally applied, we re-trained it using images (<250) of randomised control and experimental chick wings, and obtained similarly high test accuracy (86.1%). Saliency analyses revealed that biologically relevant features are used for classification. Our strategy enables training of image classifiers for various applications in developmental biology with limited microscopy data.SUMMARY STATEMENT We train a deep convolutional network that can be generally applied to accurately classify chick embryos from images. Saliency analyses show that classification is based on biologically relevant features."
"Deep learning enables fast, gentle STED microscopy","STED microscopy is widely used to image subcellular structures with super-resolution. Here, we report that denoising STED images with deep learning can mitigate photobleaching and photodamage by reducing the pixel dwell time by one or two orders of magnitude. Our method allows for efficient and robust restoration of noisy 2D and 3D STED images with multiple targets and facilitates long-term imaging of mitochondrial dynamics."
Investigating the use of odour and colour foraging cues by rosy-faced lovebirds (Agapornis roseicollis) using deep-learning based behavioural analysis,"Olfaction and vision can play important roles in optimizing foraging decisions of birds, enabling them to maximize their net rate of energy intake while searching for, handling, and consuming food. Parrots have been used extensively in avian cognition research, and some species use olfactory cues to find food. Here we pioneered machine learning analysis and pose-estimation with convolutional neural networks (CNNs) to elucidate the relative importance of visual and olfactory cues for informing foraging decisions in the rosy-faced lovebird (Agapornis roseicollis) as a non-typical model species. In a binary choice experiment, we used markerless body pose tracking to analyse bird response behaviours. Rosy-faced lovebirds quickly learnt to discriminate the feeder provisioned with food by forming an association with visual (red/green papers) but not olfactory (banana/almond odour) cues. When visual cues indicated the provisioned and empty feeders, feeder choice was more successful, choice latency shorter, and interest in the empty feeder significantly lower. This demonstrates that visual cues alone are sufficient to inform lovebird foraging decisions without needing to use olfactory cues, suggesting that selection has not driven olfactory-based foraging in lovebird evolution."
VitTCR: A deep learning method for peptide recognition prediction,"The identification of the interaction between T-cell receptors (TCRs) and immunogenic peptides is important for the development of novel cancer immunotherapies and vaccines. However, experimentally determining whether a TCR recognizes a peptide is still time– and labour-consuming. In this study, we introduced VitTCR, a predictive model based on the architecture of the vision transformer (ViT), designed to forecast TCR-peptide interactions. Prior to prediction, VitTCR converts the TCR-peptide interactions into a numerical tensor named AtchleyMaps using Atchley factors. Subsequently, VitTCR takes AtchleyMaps as inputs and predicts whether an interaction between a TCR and a peptide exists. Through comprehensive evaluations, we demonstrate that VitTCR surpasses other published methods in classifying TCR-peptide pairs, exhibiting superior performance in terms of the area under the receiver operating characteristic (AUROC) and the area under the precision-recall curve (AUPR). To determine the focal contact point between TCRs and peptides, we obtained a positional bias weight matrix (PBWM) from the empirical amino acid (AA) contact probabilities derived from 83 structurally resolved pMHC-TCR complexes. The comparison of VitTCR with and without the integration of the PBWM revealed significant enhancements in the performance of the model. Moreover, the predicted probabilities generated by VitTCR exhibit significant correlations with immunological factors such as the clonal expansion and activation percentages of T cells. This further supports the efficacy of VitTCR in capturing biologically meaningful TCR-peptide interactions. In conclusion, VitTCR provides a useful computational tool for the prediction of TCR-peptide interactions, thereby contributing to our understanding in this field."
Mapping the topography of spatial gene expression with interpretable deep learning,"Spatially resolved transcriptomics technologies provide high-throughput measurements of gene expression in a tissue slice, but the sparsity of this data complicates the analysis of spatial gene expression patterns such as gene expression gradients. We address these issues by deriving a topographic map of a tissue slice—analogous to a map of elevation in a landscape—using a novel quantity called the isodepth. Contours of constant isodepth enclose spatial domains with distinct cell type composition, while gradients of the isodepth indicate spatial directions of maximum change in gene expression. We develop GASTON, an unsupervised and interpretable deep learning algorithm that simultaneously learns the isodepth, spatial gene expression gradients, and piecewise linear functions of the isodepth that model both continuous gradients and discontinuous spatial variation in the expression of individual genes. We validate GASTON by showing that it accurately identifies spatial domains and marker genes across several biological systems. In SRT data from the brain, GASTON reveals gradients of neuronal differentiation and firing, and in SRT data from a tumor sample, GASTON infers gradients of metabolic activity and epithelial-mesenchymal transition (EMT)-related gene expression in the tumor microenvironment."
DeepEnzyme: a robust deep learning model for improved enzyme turnover number prediction by utilizing features of protein 3D structures,"Turnover numbers (kcat), which indicate an enzyme’s catalytic efficiency, have a wide range of applications in fields including protein engineering and synthetic biology. Experimentally measuring the enzymes’ kcat is always time-consuming. Recently, the prediction of kcat using deep learning models has mitigated this problem. However, the accuracy and robustness in kcat prediction still needs to be improved significantly, particularly when dealing with enzymes with low sequence similarity compared to those within the training dataset. Herein, we present DeepEnzyme, a cutting-edge deep learning model that combines the most recent Transformer and Graph Convolutional Network (GCN) architectures. To improve the prediction accuracy, DeepEnzyme was trained by leveraging the integrated features from both sequences and 3D structures. Consequently, our model exhibits remarkable robustness when processing enzymes with low sequence similarity compared to those in the training dataset by utilizing additional features from high-quality protein 3D structures. DeepEnzyme also makes it possible to evaluate how point mutations affect the catalytic activity of the enzyme, which helps identify residue sites that are crucial for the catalytic function. In summary, DeepEnzyme represents a pioneering effort in predicting enzymes’ kcat values with superior accuracy and robustness compared to previous algorithms. This advancement will significantly contribute to our comprehension of enzyme function and its evolutionary patterns across species."
Protein-protein interaction prediction via structure-based deep learning,"Protein-protein interactions (PPIs) play an essential role in life activities. Many machine learning algorithms based on protein sequence information have been developed to predict PPIs. However, these models have difficulty dealing with various sequence lengths and suffer from low generalization and prediction accuracy. In this study, we proposed a novel end-to-end deep learning framework, RSPPI, combining Residual Neural Network (ResNet) and Spatial Pyramid Pooling (SPP), to predict PPIs based on the protein sequence physicochemistry properties and spatial structural information. In the RSPPI model, ResNet was employed to extract the structural and physicochemical information from the protein 3D structure and primary sequence; the SPP layer was used to transform feature maps to a single vector and avoid the fixed-length requirement. The RSPPI model possessed excellent cross-species performance and outperformed several state-of-the-art methods based either on protein sequence or gene ontology in most evaluation metrics. The RSPPI model provides a novel strategic direction to develop an AI PPI prediction algorithm."
Small immunological clocks identified by Deep Learning and Gradient Boosting,"Background The aging process affects all systems of the human body, and the observed increase in inflammatory components affecting the immune system in old age can lead to the development of age-associated diseases and systemic inflammation.Results We propose a small clock model SImAge based on a limited number of immunological biomarkers. To regress the chronological age from cytokine data, we first use a baseline Elastic Net model, gradient-boosted decision trees models, and several deep neural network architectures. For the full dataset of 46 immunological parameters, DANet, SAINT, FT-Transformer and TabNet models showed the best results for the test dataset. Dimensionality reduction of these models with SHAP values revealed the 10 most age-associated immunological parameters, taken to construct the SImAge small immunological clock. The best result of the SImAge model shown by the FT-Transformer deep neural network model has mean absolute error of 6.94 years and Pearson ρ = 0.939 on the independent test dataset. Explainable artificial intelligence methods allow for explaining the model solution for each individual participant.Conclusions We developed an approach to construct a model of immunological age based on just 10 immunological parameters, coined SImAge, for which the FT-Transformer deep neural network model had proved to be the best choice. The model shows competitive results compared to the published studies on immunological profiles, and takes a smaller number of features as an input. Neural network architectures outperformed gradient-boosted decision trees, and can be recommended in the further analysis of immunological profiles."
Interpreting Molecular Dynamics Forces as Deep Learning Gradients Improves Quality Of Predicted Protein Structures,"ABSTRACTProtein structure predictions from deep learning models like AlphaFold2, despite their remarkable accuracy, are likely insufficient for direct use in downstream tasks like molecular docking. The functionality of such models could be improved with a combination of increased accuracy and physical intuition. We propose a new method to train deep learning protein structure prediction models using molecular dynamics force fields to work toward these goals. Our custom PyTorch loss function, OpenMM-Loss, represents the potential energy of a predicted structure. OpenMM-Loss can be applied to any all-atom representation of protein structure capable of mapping into our software package, SidechainNet. We demonstrate our method’s efficacy by finetuning OpenFold. We show that subsequently predicted protein structures, both before and after a relaxation procedure, exhibit comparable accuracy while displaying lower potential energy and improved structural quality as assessed by MolProbity metrics.SIGNIFICANCE We propose a novel framework to directly incorporate forces from molecular dynamics as gradients for training deep learning models like AlphaFold2. We implement our method as a PyTorch loss function, OpenMM-Loss, which frames the potential energy of predicted protein structures as a minimization objective. When applied to OpenFold, our method demonstrates improved structural quality, lower potential energy, and comparable accuracy relative to the OpenFold baseline. Our framework may enhance the ability of deep learning models to recapitulate fundamental biophysical principles, reducing the number of structural irregularities in their predictions and paving the way for more effective downstream applications."
DeepRaccess: High-speed RNA accessibility prediction using deep learning,"RNA accessibility is a useful RNA secondary structural feature for predicting RNA-RNA interactions and translation efficiency in prokaryotes. However, conventional accessibility calculation tools, such as Raccess, are computationally expensive and require considerable computational time to perform transcriptome-scale analyses. In this study, we developed DeepRaccess, which predicts RNA accessibility based on deep learning methods. DeepRaccess was trained to take artificial RNA sequences as input and to predict the accessibility of these sequences as calculated by Raccess. Simulation and empirical dataset analyses showed that the accessibility predicted by DeepRaccess was highly correlated with the accessibility calculated by Raccess. In addition, we confirmed that DeepRaccess can predict protein abundance in E.coli with moderate accuracy from the sequences around the start codon. We also demonstrated that DeepRaccess achieved tens to hundreds of times software speed-up in a GPU environment. The source codes and the trained models of DeepRaccess are freely available at https://github.com/hmdlab/DeepRaccess."
Prediction of A. thaliana’s MCTP4 Structure using Deep Learning-Based tools and Exploration of Transmembrane domain Dynamics using Coarse-Grained Molecular Dynamics Simulations,"Multiple C2 Domains and Transmembrane region Proteins (MCTPs) in plants have been identified as important functional and structural components of plasmodesmata cytoplasmic bridges, which are vital for cell-cell communication. MCTPs are endoplasmic reticulum (ER)-associated proteins which contain three to four C2 domains and two transmembrane regions. In this study, we created structural models of Arabidopsis MCTP4 ER-anchor transmembrane region (TMR) domain using several prediction methods based on deep learning. This region, critical for driving ER association, presents a complex domain organization and remains largely unknown. Our study demonstrates that using a single deep-learning method to predict the structure of membrane proteins can be challenging. Our deep learning models presented three different conformations for the MCTP4 structure, provided by different deep learning methods, indicating the potential complexity of the protein’s conformational landscape. For the first time, we used simulations to explore the behaviour of the TMR of MCTPs within the lipid bilayer. We found that the TMR of MCTP4 is not rigid, but can adopt various conformations including some not identified by deep learning tools. These findings underscore the complexity of predicting protein structures. We learned that combining different methods, such as deep learning and simulations, enhances our understanding of complex proteins."
Inferring plasticity rules from single-neuron spike trains using deep learning methods,"Synaptic plasticity is a core basis for learning and adaptation. Determining how synapses are altered by local signals – the learning rules – is the hinge about which brain activity pivots. A large number of in vitro characterizations have focused on restricted sets of core properties [e.g., spike-timing-dependent plasticity (STDP), burst-dependent plasticity (BDP)], but it remains to be established which learning rule is most consistent with the changes in activity patterns observed while the network learns to perform a task. To address this question, we hypothesize that correlations between features of single post-synaptic neural activity and subsequent plasticity of the representations could distinguish between learning rules. Because this correlation was expected to be diluted by the notoriously large variability of brain activity, we propose to infer the learning rules from passive observations using artificial neural networks. Using surrogate data to test the validity of our approach, we found that transformers and temporal convolutional networks could classify learning rules far above the chance level (20%), with transformers achieving a better overall accuracy (78%) than the convolutional models (73%). This performance is achieved despite the presence of noise and representational drift. Although not as accurate as the complex transformer-based classifier, the convolutional model can provide insights into the interpretable features used by the algorithm to perform the classification. Our work establishes support for using deep learning methods to infer the category of learning rules given spiking data."
Virtual reality empowered deep learning analysis of brain activity,"ABSTRACTTissue clearing and fluorescent microscopy are powerful tools for unbiased organ-scale protein expression studies. Critical for interpreting expression patterns of large imaged volumes are reliable quantification methods. Here, we present DELiVR a deep learning pipeline that uses virtual reality (VR)-generated training data to train deep neural networks, and quantify c-Fos as marker for neuronal activity in cleared mouse brains and map its expression at cellular resolution. VR annotation significantly accelerated the speed of generating training data compared to conventional 2D slice based annotation. DELiVR detects cells with much higher precision than current threshold-based pipelines, and provides an extensive toolbox for data visualization, inspection and comparison. We applied DELiVR to profile cancer-related mouse brain activity, and discovered a novel activation pattern that distinguishes between weight-stable cancer and cancer-associated weight loss. Thus, DELiVR provides a robust mouse brain analysis pipeline at cellular scale that can be used to study brain activity patterns in health and disease.The DELiVR software, Fiji plugin and documentation can be found at https://www.DISCOtechnologies.org/DELiVR/.Download figureOpen in new tabHighlightsDELiVR detects labelled cells in cleared brains with deep learningDELiVR is trained by annotating ground-truth data in virtual reality (VR)DELiVR is launched via a FIJI plugin anywhere from PCs to clustersUsing DELiVR, we found new brain activity patterns in weight-stable vs. cachectic cancerHighlightsSupplementary Videos can be seen at: https://www.DISCOtechnologies.org/DELiVR/"
Deep learning to extract the meteorological by-catch of wildlife cameras,"Microclimate – proximal climatic variation at scales of meters and minutes – can exacerbate or mitigate the impacts of climate change on biodiversity. However, most microclimate studies are temperature-centric, and do not consider meteorological factors such as sunshine, hail and snow. Meanwhile, remote cameras have become a primary tool to monitor wild plants and animals, even at micro-scales, with deep learning tools to rapidly convert images into ecological data. However, deep learning applications for wildlife imagery have focused exclusively on living subjects. Here, we identify an overlooked opportunity to extract latent, yet ecologically relevant, meteorological information.We produce an annotated image dataset of micrometeorological conditions across 49 wildlife cameras in South Africa’s Maloti-Drakensberg and the Swiss Alps. We train ensemble deep learning models to classify conditions as overcast, sunshine, hail or snow. Our best model achieves 91.7% accuracy on test cameras not seen during training. Furthermore, we show how effective accuracy is raised to 96% by disregarding 14.1% of classifications where ensemble member models did not reach a consensus. Unlike previous studies we test model performance in remote and novel locations, distinguishing overcast and sunny conditions in Svalbard, Norway with 79.3% accuracy (93.9% consensus accuracy).Our model rapidly classifies sunshine, snow and hail in almost 2 million unlabeled images. Resulting micrometeorological data illustrated common seasonal patterns of summer hailstorms and autumn snowfalls across mountains in the northern and southern hemispheres. However, daily patterns of sunshine and shade diverged between sites, impacting daily temperature cycles. Crucially, we leverage micrometeorological data to demonstrate that (1) experimental warming using open-top chambers shortens early snow events in autumn, and (2) image-derived sunshine marginally outperforms sensor-derived temperature when predicting bumblebee foraging. These methods generate novel micrometeorological variables in synchrony with biological recordings, enabling new insights from an increasingly global network of wildlife cameras."
ProteinFlow: a Python Library to Pre-Process Protein Structure Data for Deep Learning Applications,"ABSTRACTOver the past few years, deep learning tools for protein design have made significant advances in the field of bioengineering, opening up new opportunities for drug discovery, disease prevention or industrial biotechnology. However, despite the growing interest and excitement surrounding these tools, progress in the field is hindered by a lack of standardized datasets for benchmarking. Most models are trained on data from the Protein Data Bank (PDB), the largest repository of experimentally determined biological macromolecular structures. But filtering and processing this data involves many hyperparameter choices that are often not harmonized across the research community. Moreover, the task of splitting protein data into training and validation subsets with minimal data leakage is not trivial and often overlooked. Here we present ProteinFlow, a computational pipeline to pre-process protein sequence and structural data for deep learning applications. The pipeline is fully configurable and allows the extraction of all levels of protein organization (primary to quaternary), allowing end-users to cater the dataset for a multitude of downstream tasks, such as protein sequence design, protein folding modeling or protein-protein interaction prediction. In addition, we curate a feature-rich benchmarking dataset based on the latest annual release of the PDB and a selection of preprocessing parameters that are widely used across the research community. We showcase its utility by benchmarking a state-of-the-art (SOTA) deep learning model for protein sequence design. The open source code is packaged as a python library and can be accessed on https://github.com/adaptyvbio/ProteinFlow."
A deep learning classification task for brain navigation during functional ultrasound imaging,"Positioning and navigation are essential components of neuroimaging as they improve the quality and reliability of data acquisition, leading to advances in diagnosis, treatment outcomes, and fundamental understanding of the brain. Functional ultrasound (fUS) imaging is an emerging technology providing high-resolution images of the brain vasculature, allowing for the monitoring of brain activity. However, as the technology is relatively new, there is no standardized tool for inferring the position in the brain from the vascular images. This study presents a deep learning-based framework designed to address this challenge. Our approach uses an image classification task coupled with a regression on the resulting probabilities to determine the position of a single image. We conducted experiments using a dataset of 51 rat brain scans to evaluate its performance. The training positions were extracted at intervals of 375 µm, resulting in a positioning error of 176 µm. Further GradCAM analysis revealed that the predictions were primarily driven by subcortical vascular structures. Finally, we assessed the robustness of our method in a cortical stroke where the brain vasculature is severely impaired. Remarkably, no specific increase in the number of misclassifications was observed, confirming the method’s reliability in challenging conditions. Overall, our framework provides accurate and flexible positioning, not relying on a pre-registered reference but on conserved vascular patterns."
Automated Deep Learning-Based Diagnosis and Molecular Characterization of Acute Myeloid Leukemia using Flow Cytometry,"ABSTRACTCurrent flow cytometric analysis of blood and bone marrow samples for diagnosis of acute myeloid leukemia (AML) relies heavily on manual intervention in both the processing and analysis steps, introducing significant subjectivity into resulting diagnoses and necessitating highly trained personnel. Furthermore, concurrent molecular characterization via cytogenetics and targeted sequencing can take multiple days, delaying patient diagnosis and treatment. Attention-based multi-instance learning models (ABMILMs) are deep learning models which make accurate predictions and generate interpretable insights regarding the classification of a sample from individual events/cells; nonetheless, these models have yet to be applied to flow cytometry data. In this study, we developed a computational pipeline using ABMILMs for the automated diagnosis of AML cases based exclusively on flow cytometric data. Analysis of 1,820 flow cytometry samples shows that this pipeline provides accurate diagnoses of acute leukemia [AUROC 0.961] and accurately differentiates AML versus B- and T- lymphoblastic leukemia [AUROC 0.965]. Models for prediction of 9 cytogenetic aberrancies and 32 pathogenic variants in AML provide accurate predictions, particularly for t(15;17)(PML::RARA) [AUROC 0.929], t(8;21)(RUNX1::RUNX1T1) [AUROC 0.814], and NPM1 variants [AUROC 0.807]. Finally, we demonstrate how these models generate interpretable insights into which individual flow cytometric events and markers deliver optimal diagnostic utility, providing hematopathologists with a data visualization tool for improved data interpretation, as well as novel biological associations between flow cytometric marker expression and cytogenetic/molecular variants in AML. Our study is the first to illustrate the feasibility of using deep learning-based analysis of flow cytometric data for automated AML diagnosis and molecular characterization."
Joint Trajectory Inference for Single-cell Genomics Using Deep Learning with a Mixture Prior,"Trajectory inference methods are essential for analyzing the developmental paths of cells in single-cell sequencing datasets. It provides insights into cellular differentiation, transitions, and lineage hierarchies, helping unravel the dynamic processes underlying development, disease progression, and tissue regeneration. However, many existing tools for trajectory inference lack a cohesive statistical model and reliable uncertainty quantification, limiting their utility and robustness. In this paper, we introduce VITAE (Variational Inference for Trajectory by AutoEncoder), a novel statistical approach that integrates a latent hierarchical mixture model with variational autoencoders to infer trajectories. The statistical hierarchical model underpinning the approach enhances interpretability, facilitating the exploration of differential gene expression patterns along the trajectory, while the posterior approximations generated by the variational autoencoder ensure computational efficiency, flexibility, and scalability. Notably, VITAE uniquely enables simultaneous trajectory inference and data integration across multiple datasets, enhancing accuracy in both tasks. We show that VITAE outperforms other state-of-the-art trajectory inference methods on both real and synthetic data under various trajectory topologies. Furthermore, we apply VITAE to jointly analyze three distinct single-cell RNA sequencing datasets of the mouse neocortex, unveiling comprehensive developmental lineages of projection neurons. VITAE effectively mitigates batch effects within and across datasets, aligning cells to elucidate clear trajectories and uncover finer structures that might be overlooked in individual datasets. Additionally, we showcase VITAE’s efficacy in integrative analyses of multi-omic datasets with continuous cell population structures."
NuFold: A Novel Tertiary RNA Structure Prediction Method Using Deep Learning with Flexible Nucleobase Center Representation,"RNA is not only playing a core role in the central dogma as mRNA between DNA and protein, but also many non-coding RNAs have been discovered to have unique and diverse biological functions. As genome sequences become increasingly available and our knowledge of RNA sequences grows, the study of RNA’s structure and function has become more demanding. However, experimental determination of three-dimensional RNA structures is both costly and time-consuming, resulting in a substantial disparity between RNA sequence data and structural insights. In response to this challenge, we propose a novel computational approach that harnesses state-of-the-art deep learning architecture NuFold to accurately predict RNA tertiary structures. This approach aims to offer a cost-effective and efficient means of bridging the gap between RNA sequence information and structural comprehension. NuFold implements a nucleobase center representation, which allows it to reproduce all possible nucleotide conformations accurately."
GeneSegNet: a deep learning framework for cell segmentation by integrating gene expression and imaging,"When analyzing data from in situ RNA detection technologies, cell segmentation is an essential step in identifying cell boundaries, assigning RNA reads to cells, and studying the gene expression and morphological features of cells. We developed a deep-learning-based method, GeneSegNet, that integrates both gene expression and imaging information to perform cell segmentation. GeneSegNet also employs a recursive training strategy to deal with noisy training labels. We show that GeneSegNet significantly improves cell segmentation performances over existing methods that either ignore gene expression information or underutilize imaging information."
Deep-learning and transfer learning identify new breast cancer survival subtypes from single-cell imaging data,"ABSTRACTQuantitative models that explicitly capture single-cell resolution cell-cell interaction features to predict patient survival at population scale are currently missing. Here, we computationally extracted hundreds of features describing single-cell based cell-cell interactions and cellular phenotypes from a large, published cohort of cyto-images of breast cancer patients. We applied these features to a neural-network based Cox-nnet survival model and obtained high accuracy in predicting patient survival in test data (Concordance Index > 0.8). We identified seven survival subtypes using the top survival features, which present distinct profiles of epithelial, immune, fibroblast cells, and their interactions. We identified atypical subpopulations of TNBC patients with moderate prognosis (marked by GATA3 over-expression) and Luminal A patients with poor prognosis (marked by KRT6 and ACTA2 over-expression and CDH1 under-expression). These atypical subpopulations are validated in TCGA-BRCA and METABRIC datasets. This work provides important guidelines on bridging single-cell level information towards population-level survival prediction.STATEMENT OF TRANSLATIONAL RELEVANCE Our findings from a breast cancer population cohort demonstrate the clinical utility of using the single-cell level imaging mass cytometry (IMC) data as a new type of patient prognosis prediction marker. Not only did the prognosis prediction achieve high accuracy with a Concordance index score greater than 0.8, it also enabled the discovery of seven survival subtypes that are more distinguishable than the molecular subtypes. These new subtypes present distinct profiles of epithelial, immune, fibroblast cells, and their interactions. Most importantly, this study identified and validated atypical subpopulations of TNBC patients with moderate prognosis (GATA3 over-expression) and Luminal A patients with poor prognosis (KRT6 and ACTA2 over-expression and CDH1 under-expression), using multiple large breast cancer cohorts."
A Neural Speech Decoding Framework Leveraging Deep Learning and Speech Synthesis,"Decoding human speech from neural signals is essential for brain-computer interface (BCI) technologies restoring speech function in populations with neurological deficits. However, it remains a highly challenging task, compounded by the scarce availability of neural signals with corresponding speech, data complexity, and high dimensionality, and the limited publicly available source code. Here, we present a novel deep learning-based neural speech decoding framework that includes an ECoG Decoder that translates electrocorticographic (ECoG) signals from the cortex into interpretable speech parameters and a novel differentiable Speech Synthesizer that maps speech parameters to spectrograms. We develop a companion audio-to-audio auto-encoder consisting of a Speech Encoder and the same Speech Synthesizer to generate reference speech parameters to facilitate the ECoG Decoder training. This framework generates natural-sounding speech and is highly reproducible across a cohort of 48 participants. Among three neural network architectures for the ECoG Decoder, the 3D ResNet model has the best decoding performance (PCC=0.804) in predicting the original speech spectrogram, closely followed by the SWIN model (PCC=0.796). Our experimental results show that our models can decode speech with high correlation even when limited to only causal operations, which is necessary for adoption by real-time neural prostheses. We successfully decode speech in participants with either left or right hemisphere coverage, which could lead to speech prostheses in patients with speech deficits resulting from left hemisphere damage. Further, we use an occlusion analysis to identify cortical regions contributing to speech decoding across our models. Finally, we provide open-source code for our two-stage training pipeline along with associated preprocessing and visualization tools to enable reproducible research and drive research across the speech science and prostheses communities."
Deep learning predictions of TCR-epitope interactions reveal epitope-specific chains in dual alpha T cells,"T cells have the ability to eliminate infected and cancer cells and play an essential role in cancer immunotherapy. T-cell activation is elicited by the binding of the T-cell receptor (TCR) to epitopes displayed on MHC molecules, and the TCR specificity is determined by the sequence of its α and β chains. Here, we collected and curated a dataset of 17,715 αβTCRs interacting with dozens of class I and class II epitopes. We used this curated data to develop MixTCRpred, a deep learning TCR-epitope interaction predictor. MixTCRpred accurately predicts TCRs recognizing several viral and cancer epitopes. MixTCRpred further provides a useful quality control tool for multiplexed single-cell TCR sequencing assays of epitope-specific T cells and pinpoints a substantial fraction of putative contaminants in public databases. Analysis of epitope-specific dual α T cells demonstrates that MixTCRpred can identify α chains mediating epitope recognition. Applying MixTCRpred to TCR repertoires from COVID-19 patients reveals enrichment of clonotypes predicted to bind an immunodominant SARS-CoV-2 epitope. Overall, MixTCRpred provides a robust tool to predict TCRs interacting with specific epitopes and interpret TCR-sequencing data from both bulk and epitope-specific T cells."
Rapid protein stability prediction using deep learning representations,"Predicting the thermodynamic stability of proteins is a common and widely used step in protein engineering, and when elucidating the molecular mechanisms behind evolution and disease. Here, we present RaSP, a method for making rapid and accurate predictions of changes in protein stability by leveraging deep learning representations. RaSP performs on-par with biophysics-based methods and enables saturation mutagenesis stability predictions in less than a second per residue. We use RaSP to calculate ∼ 300 million stability changes for nearly all single amino acid changes in the human proteome, and examine variants observed in the human population. We find that variants that are common in the population are substantially depleted for severe destabilization, and that there are substantial differences between benign and pathogenic variants, highlighting the role of protein stability in genetic diseases. RaSP is freely available—including via a Web interface—and enables large-scale analyses of stability in experimental and predicted protein structures."
