Google Title,Google Author,Google Author URL,Google Abstract
Adversarial attack and defense on deep learning for air transportation communication jamming,"M Liu, Z Zhang, Y Chen, J Ge… - IEEE Transactions on …, 2023 - ieeexplore.ieee.org",https://scholar.google.com//citations?user=P8gKHiUAAAAJ&hl=zh-CN&oe=GB&oi=sra," recognition model based on deep learning (DL) can quickly and  However, due to the vulnerability of deep learning, the  environments by transfer learning. Simulation results show that "
A dual-scale deep learning model based on ELM-BiLSTM and improved reptile search algorithm for wind power prediction,"J Xiong, T Peng, Z Tao, C Zhang, S Song, MS Nazir - Energy, 2023 - Elsevier",https://scholar.google.com//citations?user=ty0eOewAAAAJ&hl=zh-CN&oe=GB&oi=sra," deep extreme learning machine (DELM) hybrid model for forecasting wind power. The model combines the information extraction capacity of the deep learning  , some deep learning "
Forecasting failure rate of IoT devices: A deep learning way to predictive maintenance,"MA Sami, TA Khan - Computers and Electrical Engineering, 2023 - Elsevier",https://scholar.google.com//citations?user=EFAGRn4AAAAJ&hl=zh-CN&oe=GB&oi=sra," To ensure fault-free automation of IoT systems, it is important to implement a proactive maintenance strategy that uses deep learning techniques to forecast failures in smart home "
Skin lesion analysis and cancer detection based on machine/deep learning techniques: A comprehensive survey,"M Zafar, MI Sharif, MI Sharif, S Kadry, SAC Bukhari… - Life, 2023 - mdpi.com",https://scholar.google.com//citations?user=eWvJVx0AAAAJ&hl=zh-CN&oe=GB&oi=sra," With the fast progression in computer-aided diagnosis systems, a variety of deep learning, machine learning, and computer vision approaches were merged for the determination of "
"Deep Learning and Machine Learning, Better Together Than Apart: A Review on Biometrics Mobile Authentication","S Kokal, M Vanamala, R Dave - Journal of Cybersecurity and Privacy, 2023 - mdpi.com",https://scholar.google.com//citations?user=tipGUvkAAAAJ&hl=zh-CN&oe=GB&oi=sra, such as an increased availability of deep neural network (DNN)  of machine learning and deep learning algorithms with  with machine learning (ML) and deep learning (DL) algorithms. 
A hybrid spatial–temporal deep learning architecture for lane detection,"Y Dong, S Patil, B Van Arem… - Computer��Aided Civil and …, 2023 - Wiley Online Library",https://scholar.google.com//citations?user=L4OAZ_AAAAAJ&hl=zh-CN&oe=GB&oi=sra, This study proposes a novel hybrid spatial–temporal (ST) sequence-to-one deep learning  in an end-to-end supervised learning format. Extensive experiments reveal that the proposed 
Deep learning based 3D target detection for indoor scenes,"Y Liu, D Jiang, C Xu, Y Sun, G Jiang, B Tao, X Tong… - Applied …, 2023 - Springer",https://scholar.google.com//citations?user=UkfsK6EAAAAJ&hl=zh-CN&oe=GB&oi=sra, This article uses the Pytorch deep learning framework. Pytorch is a deep learning framework developed  This article uses the Python deep learning framework to configure and build the 
Automatic interpretation and clinical evaluation for fundus fluorescein angiography images of diabetic retinopathy patients by deep learning,"Z Gao, X Pan, J Shao, X Jiang, Z Su, K Jin… - British Journal of …, 2023 - bjo.bmj.com",https://scholar.google.com//citations?user=mmKu4-EAAAAJ&hl=zh-CN&oe=GB&oi=sra," In this study, we developed the multilabel and multiclassification deep learning model for report interpretation and clinical evaluation, based on a dataset consisting of FFA images from "
Robust framework based on hybrid deep learning approach for short term load forecasting of building electricity demand,"C Sekhar, R Dahiya - Energy, 2023 - Elsevier",https://scholar.google.com//citations?user=Z18lxK8AAAAJ&hl=zh-CN&oe=GB&oi=sra," and also suffer from inefficient learning, time-consuming, and  due to their nonlinear learning capability, good computation  a hybrid framework based on deep learning (DL) techniques: "
How to keep text private? A systematic review of deep learning methods for privacy-preserving natural language processing,"S Sousa, R Kern - Artificial Intelligence Review, 2023 - Springer",https://scholar.google.com//citations?user=mwYGTg0AAAAJ&hl=zh-CN&oe=GB&oi=sra," line for developing new deep learning (DL) methods in scenarios that feature sensitive or personal data alongside threats of breaches. In addition, deep neural network models are "
GaNDLF: the generally nuanced deep learning framework for scalable end-to-end clinical workflows,"S Pati, SP Thakur, İE Hamamcı, U Baid… - Communications …, 2023 - nature.com",https://scholar.google.com//citations?user=h8YyAfEAAAAJ&hl=zh-CN&oe=GB&oi=sra, Deep Learning (DL) has the potential to optimize machine learning in both the scientific and  Here we present the community-driven Generally Nuanced Deep Learning Framework (
Systematic review of deep learning image analyses for the diagnosis and monitoring of skin disease,"SP Choy, BJ Kim, A Paolino, WR Tan, SML Lim… - NPJ Digital …, 2023 - nature.com",https://scholar.google.com//citations?user=nxq3KagAAAAJ&hl=zh-CN&oe=GB&oi=sra, Deep learning may optimise healthcare workflows through processing skin images via neural networks to make predictions. A focus of deep learning  studies applying deep learning to 
Intelligent generation of Peking opera facial masks with deep learning frameworks,"M Yan, R Xiong, Y Shen, C Jin, Y Wang - Heritage Science, 2023 - Springer",https://scholar.google.com//citations?user=cM-C4PcAAAAJ&hl=zh-CN&oe=GB&oi=sra," In this paper, different deep learning frameworks are improved for learning features of  Adversarial Network-2 (StyleGAN2) can learn implicit and explicit features of Peking opera facial "
"Fast, accurate antibody structure prediction from deep learning on massive set of natural antibodies","JA Ruffolo, LS Chu, SP Mahajan, JJ Gray - Nature communications, 2023 - nature.com",https://scholar.google.com//citations?user=Jgd_oB0AAAAJ&hl=zh-CN&oe=GB&oi=sra," Here, we present IgFold, a fast deep learning method for antibody structure prediction. IgFold consists of a pre-trained language model trained on 558 million natural antibody "
A novel transfer deep learning method for detection and classification of plant leaf disease,"P Kaur, S Harnal, V Gautam, MP Singh… - Journal of Ambient …, 2023 - Springer",https://scholar.google.com//citations?user=0LcEJC8AAAAJ&hl=zh-CN&oe=GB&oi=sra, using deep learning techniques. This work has been implementing the proposed deep learning  Figure 1 shows the data flow for tomato disease characterization using transfer learning. 
A hybrid deep learning model for discrimination of physical disturbance and cyber-attack detection in smart grid,"K Bitirgen, ÜB Filik - International Journal of Critical Infrastructure Protection, 2023 - Elsevier",https://scholar.google.com//citations?user=3Q2Ky1EAAAAJ&hl=zh-CN&oe=GB&oi=sra," A detailed numerical comparison is made using the state-of-the-art deep learning (DL) architectures like LSTM, PSO-LSTM, and CNN-LSTM models to verify the accuracy and "
COVID-19 diagnosis-based deep learning approaches for COVIDx dataset: A preliminary survey,"E Hassan, MY Shams, NA Hikal… - Artificial intelligence for …, 2023 - taylorfrancis.com",https://scholar.google.com//citations?user=ZUIqm8AAAAAJ&hl=zh-CN&oe=GB&oi=sra," Figure (14.3) [8] shows the taxonomy of the most recent approaches based on deep learning (DL) for both supervised and unsupervised learning are presented. In supervised learning, "
Deep learning methods for time-dependent reliability analysis of reservoir slopes in spatially variable soils,"L Wang, C Wu, Z Yang, L Wang - Computers and Geotechnics, 2023 - Elsevier",https://scholar.google.com//citations?user=w-7b36cAAAAJ&hl=zh-CN&oe=GB&oi=sra," This study proposes deep learning (DL)-based time-dependent reliability analysis approach, and a practical case adapted from the Bazimen landslide in the TGRA is used for illustration"
Attack graph model for cyber-physical power systems using hybrid deep learning,"A Presekal, A Ştefanov, VS Rajkumar… - IEEE Transactions on …, 2023 - ieeexplore.ieee.org",https://scholar.google.com//citations?user=B2o5i-AAAAAJ&hl=zh-CN&oe=GB&oi=sra, a novel hybrid deep learning model for anomaly  deep learning model to classify the OT network traffic throughput as anomalous or normal. The model combines GC-LSTM and a deep 
Efficient tomato harvesting robot based on image processing and deep learning,"Z Miao, X Yu, N Li, Z Zhang, C He, Z Li, C Deng… - Precision …, 2023 - Springer",https://scholar.google.com//citations?user=-e5EP0MAAAAJ&hl=zh-CN&oe=GB&oi=sra," It can be seen that among the many deep learning methods, the YOLO network has been used frequently for the crop/fruit perception, which proved its feasibility for agricultural "
A deep learning-enhanced framework for multiphysics joint inversion,"Y Hu, X Wei, X Wu, J Sun, J Chen, Y Huang, J Chen - Geophysics, 2023 - library.seg.org",https://scholar.google.com//citations?user=Evsq-FEAAAAJ&hl=zh-CN&oe=GB&oi=sra, Deep learning has gained tremendous attention and success in many fields includ-  Deep learning has also found its applications in geophysical joint inversion (Liu and 
Sybil: a validated deep learning model to predict future lung cancer risk from a single low-dose chest computed tomography,"PG Mikhael, J Wohlwend, A Yala… - Journal of Clinical …, 2023 - ncbi.nlm.nih.gov",https://scholar.google.com//citations?user=ESIf-N4AAAAJ&hl=zh-CN&oe=GB&oi=sra, We hypothesized that a deep learning model assessing the entire volumetric LDCT data could be built to predict individual risk without requiring additional demographic or clinical data. 
Inverted bell-curve-based ensemble of deep learning models for detection of COVID-19 from chest X-rays,"A Paul, A Basu, M Mahmud, MS Kaiser… - Neural Computing and …, 2023 - Springer",https://scholar.google.com//citations?user=x-R0TVQAAAAJ&hl=zh-CN&oe=GB&oi=sra," deep learning-based systems to identify the COVID-19 from such CXR images. To this end, we propose an inverted bell-curve-based ensemble of deep learning  of transfer learning to "
Deep learning and model personalization in sensor-based human activity recognition,"A Ferrari, D Micucci, M Mobilio… - Journal of Reliable …, 2023 - Springer",https://scholar.google.com//citations?user=oGxd0GoAAAAJ&hl=zh-CN&oe=GB&oi=sra," other (traditional machine learning and deep learning with personalization and without personalization). From what concerns personalized deep learning techniques, preliminary results "
A deep learning approach reveals unexplored landscape of viral expression in cancer,"A Elbasir, Y Ye, DE Schäffer, X Hao… - Nature …, 2023 - nature.com",https://scholar.google.com//citations?user=ysJTatUAAAAJ&hl=zh-CN&oe=GB&oi=sra," methods suggest that deep learning methods to detect viral  , that employs a deep learning model to accurately distinguish  In summary, we present the first deep learning-based method "
A 95.6-TOPS/W deep learning inference accelerator with per-vector scaled 4-bit quantization in 5 nm,"B Keller, R Venkatesan, S Dai, SG Tell… - IEEE Journal of Solid …, 2023 - ieeexplore.ieee.org",https://scholar.google.com//citations?user=kWAm7BgAAAAJ&hl=zh-CN&oe=GB&oi=sra,The energy efficiency of deep neural network (DNN) inference can be improved with custom accelerators. DNN inference accelerators often employ specialized hardware techniques to 
Evolving deep neural networks,"R Miikkulainen, J Liang, E Meyerson, A Rawal… - Artificial intelligence in …, 2024 - Elsevier",https://scholar.google.com//citations?user=FsP6Nl0AAAAJ&hl=zh-CN&oe=GB&oi=sra," of deep learning depends on finding an architecture to fit the task. As deep learning has  This chapter proposes an automated method, CoDeepNEAT, for optimizing deep learning "
A novel deep learning method for maize disease identification based on small sample-size and complex background datasets,"E Li, L Wang, Q Xie, R Gao, Z Su, Y Li - Ecological Informatics, 2023 - Elsevier",https://scholar.google.com//citations?user=-PCjRp8AAAAJ&hl=zh-CN&oe=GB&oi=sra, The objective of this paper is to propose a deep learning-based method for improving the model's identification accuracy on datasets with small sample sizes and complex 
A nearly end-to-end deep learning approach to fault diagnosis of wind turbine gearboxes under nonstationary conditions,"L Zhang, Q Fan, J Lin, Z Zhang, X Yan, C Li - Engineering applications of …, 2023 - Elsevier",https://scholar.google.com//citations?user=2M-Bb9EAAAAJ&hl=zh-CN&oe=GB&oi=sra," In light of all the above considerations, this study proposes a nearly end-to-end deep learning approach to the fault diagnosis of wind turbine gearboxes based on Empirical Mode "
A new deep-learning method for human activity recognition,"R Vrskova, P Kamencay, R Hudec, P Sykora - Sensors, 2023 - mdpi.com",https://scholar.google.com//citations?user=bqrq-HUAAAAJ&hl=zh-CN&oe=GB&oi=sra," However, due to the variety of methods used for human activity recognition, we propose a new deep-learning model in this paper. The main objective of our work is to optimize the "
HDL-PSR: Modelling spatio-temporal features using hybrid deep learning approach for post-stroke rehabilitation,"V Bijalwan, VB Semwal, G Singh, TK Mandal - Neural processing letters, 2023 - Springer",https://scholar.google.com//citations?user=3LR7DhgAAAAJ&hl=zh-CN&oe=GB&oi=sra," Deep learning and Hybrid deep learning models were implemented to judge the best model  The hybrid deep learning model of CNN Long short-Term Memory (CNN-LSTM), CNN "
Embracing limited and imperfect training datasets: opportunities and challenges in plant disease recognition using deep learning,"M Xu, H Kim, J Yang, A Fuentes, Y Meng… - Frontiers in Plant …, 2023 - frontiersin.org",https://scholar.google.com//citations?user=l6G-F2IAAAAJ&hl=zh-CN&oe=GB&oi=sra," Recent advancements in deep learning have brought  Consequently, the practical application of current deep learning– the ambitious objective of deploying deep learning in real-world "
Early diagnosis of COVID-19-affected patients based on X-ray and computed tomography images using deep learning algorithm,"D Dansana, R Kumar, A Bhattacharjee, DJ Hemanth… - Soft computing, 2023 - Springer",https://scholar.google.com//citations?user=Ka3LWMwAAAAJ&hl=zh-CN&oe=GB&oi=sra," Since the main focus is on detecting the X-rays of COVID-19 patients, we used the least computational intensive deep learning architecture models and still got extremely satisfactory "
Machine-learning-and deep-learning-based streamflow prediction in a hilly catchment for future scenarios using CMIP6 GCM data,"D Singh, M Vardhan, R Sahu… - Hydrology and Earth …, 2023 - hess.copernicus.org",https://scholar.google.com//citations?user=Cl4Gt5EAAAAJ&hl=zh-CN&oe=GB&oi=sra," Despite the fact that some research has utilised machine-learning- and deep-learning- capability of five different machine learning (ML) models and one deep learning (DL) model, "
Deep learning-based image 3-d object detection for autonomous driving,"SY Alaba, JE Ball - IEEE Sensors Journal, 2023 - ieeexplore.ieee.org",https://scholar.google.com//citations?user=80GFge8AAAAJ&hl=zh-CN&oe=GB&oi=sra," Although 2D object detection has shown significant performance improvement in the computer vision community due to the rapid growth of deep learning (DL), 3D object detection is "
Self-supervised attention-based deep learning for pan-cancer mutation prediction from histopathology,"OL Saldanha, CML Loeffler, JM Niehues… - NPJ Precision …, 2023 - nature.com",https://scholar.google.com//citations?user=orRndBUAAAAJ&hl=zh-CN&oe=GB&oi=sra, We aimed to use Deep Learning to predict all N = 1068 clinically relevant oncogenes and tumor suppressor genes (Fig. 1C and Supplementary Fig. 1C) in the OnkoKb 19 database. 
Improving brain tumor classification performance with an effective approach based on new deep learning model named 3ACL from 3D MRI data,"F Demir, Y Akbulut, B Taşcı, K Demir - Biomedical Signal Processing and …, 2023 - Elsevier",https://scholar.google.com//citations?user=XRurc18AAAAJ&hl=zh-CN&oe=GB&oi=sra," In this study, we designed a new deep learning strategy operating with 3D MRI data. The 3D attention convolutional LSTM (3ACL) model extracted deep features from the volume data "
Accurate classification of ECG arrhythmia using MOWPT enhanced fast compression deep learning networks,"JS Huang, BQ Chen, NY Zeng, XC Cao, Y Li - Journal of Ambient …, 2023 - Springer",https://scholar.google.com//citations?user=-AHhToYAAAAJ&hl=zh-CN&oe=GB&oi=sra, The proposed deep learning classifier can substantially alleviate the problems of low  to test the performance of the proposed deep learning classifier. An averaged accuracy of 98.79% 
"Deep learning in radiology: ethics of data and on the value of algorithm transparency, interpretability and explainability","A Fernandez-Quilez - AI and Ethics, 2023 - Springer",https://scholar.google.com//citations?user=5C_wbnMAAAAJ&hl=zh-CN&oe=GB&oi=sra," In particular, deep learning (DL) techniques have led to important breakthroughs in the computer vision area [2], which have been successfully applied to the radiology domain to, for "
Photon-counting detector CT with deep learning noise reduction to detect multiple myeloma,"FI Baffour, NR Huber, A Ferrero, K Rajendran… - Radiology, 2023 - pubs.rsna.org",https://scholar.google.com//citations?user=_HyhhlIAAAAJ&hl=zh-CN&oe=GB&oi=sra,Background Photon-counting detector (PCD) CT and deep learning noise reduction may improve spatial resolution at lower radiation doses compared with energy-integrating detector (
On the benefits of using metaheuristics in the hyperparameter tuning of deep learning models for energy load forecasting,"N Bacanin, C Stoean, M Zivkovic, M Rakic… - Energies, 2023 - mdpi.com",https://scholar.google.com//citations?user=dXpfI_IAAAAJ&hl=zh-CN&oe=GB&oi=sra," The machine learning and deep learning (DL) approaches developed in the last decade provide a very high level of accuracy for various types of applications, including time-series "
Intrusion detection approach for cloud and IoT environments using deep learning and Capuchin Search Algorithm,"M Abd Elaziz, MAA Al-qaness, A Dahou… - … in Engineering Software, 2023 - Elsevier",https://scholar.google.com//citations?user=iJ_XxxoAAAAJ&hl=zh-CN&oe=GB&oi=sra," of the deep learning algorithms have been utilized for IDS, such as deep recurrent neural  The pure deep learning methods have shown significant performance, but they can work "
Exploiting fingerprint correlation for fingerprint-based indoor localization: A deep learning-based approach,"Y Zheng, J Liu, M Sheng, C Zhou - … Learning for Indoor Localization and …, 2023 - Springer",https://scholar.google.com//citations?user=JO53XA0AAAAJ&hl=zh-CN&oe=GB&oi=sra," Third, we propose a hybrid RSS/CSI fingerprint localization algorithm (HRC), which is designed based on deep learning. Finally, an ILS with HRC is designed to provide stable and fast "
A review on deep learning approaches for low-dose computed tomography restoration,"KASH Kulathilake, NA Abdullah, AQM Sabri… - Complex & Intelligent …, 2023 - Springer",https://scholar.google.com//citations?user=xQ3bAK0AAAAJ&hl=zh-CN&oe=GB&oi=sra," More recently, as opposed to conventional LDCT restoration methods, Deep Learning (DL)-based LDCT restoration approaches have been rather common due to their characteristics of "
Archimedes Optimization with Enhanced Deep Learning based Recommendation System for Drug Supply Chain Management,"K Rathor, S Chandre, A Thillaivanan… - … and Systems for …, 2023 - ieeexplore.ieee.org",https://scholar.google.com//citations?user=T5QN5EIAAAAJ&hl=zh-CN&oe=GB&oi=sra,"Recently,pharmaceutical corporations are confronting difficulties while tracking their products in the supply chain process, allowing counterfeiters to include their fake medicines into "
An energy management strategy for plug-in hybrid electric vehicles based on deep learning and improved model predictive control,"X Sun, J Fu, H Yang, M Xie, J Liu - Energy, 2023 - Elsevier",https://scholar.google.com//citations?user=As832cEAAAAJ&hl=zh-CN&oe=GB&oi=sra," On the whole, the prediction ability from high to low is deep learning (DNN and LSTM), machine learning (KNN and RF), and the traditional prediction methods (EF and MC). "
"A deep learning-based phishing detection system using CNN, LSTM, and LSTM-CNN","Z Alshingiti, R Alaqel, J Al-Muhtadi, QEU Haq… - Electronics, 2023 - mdpi.com",https://scholar.google.com//citations?user=sWvpT38AAAAJ&hl=zh-CN&oe=GB&oi=sra," based on deep learning techniques. The suggested approach is useful for deep learning-based  In this section, several previous works that use deep learning approaches for phishing "
Runtime performance prediction for deep learning models with graph neural network,"Y Gao, X Gu, H Zhang, H Lin… - 2023 IEEE/ACM 45th …, 2023 - ieeexplore.ieee.org",https://scholar.google.com//citations?user=iCxxYJsAAAAJ&hl=zh-CN&oe=GB&oi=sra, approach for predicting the runtime performance of deep learning models accurately. 2) We  graph of a deep learning model. 3) We implement an end-to-end tool named DNNPerf and 
Vibration and infrared thermography based multiple fault diagnosis of bearing using deep learning,"T Mian, A Choudhary, S Fatima - Nondestructive Testing and …, 2023 - Taylor & Francis",https://scholar.google.com//citations?user=Y9IRi0UAAAAJ&hl=zh-CN&oe=GB&oi=sra," In this work, a deep learning-based strategy using CNN was adopted to diagnose ball bearing in various fault conditions. Here a 2-D CNN was designed, and image data was used for "
Deep learning for osteoarthritis classification in temporomandibular joint,"W Jung, KE Lee, BJ Suh, H Seok, DW Lee - Oral Diseases, 2023 - Wiley Online Library",https://scholar.google.com//citations?user=q3DTw2AAAAAJ&hl=zh-CN&oe=GB&oi=sra,Objectives This study aimed to develop a diagnostic support tool using pretrained models for classifying panoramic images of the temporomandibular joint (TMJ) into normal and 
Robust triboelectric information��mat enhanced by multi��modality deep learning for smart home,"Y Yang, Q Shi, Z Zhang, X Shan, B Salam, C Lee - InfoMat, 2023 - Wiley Online Library",https://scholar.google.com//citations?user=1COR8OAAAAAJ&hl=zh-CN&oe=GB&oi=sra," Identity recognition is also realized by using deep learning (DL) to analyze the generated triboelectric signals that carry unique gait information during walking processes. Meanwhile, a "
Vision method based on deep learning for detecting concrete vibration quality,"B Ren, H Wang, D Wang, T Guan, X Zheng - Case Studies in Construction …, 2023 - Elsevier",https://scholar.google.com//citations?user=uTr9OeEAAAAJ&hl=zh-CN&oe=GB&oi=sra," deep learning theory advances, many scholars have applied computer vision technology based on deep learning  that integrates semi-supervised learning and data augmentation for "
Heterps: Distributed deep learning with reinforcement learning based scheduling in heterogeneous environments,"J Liu, Z Wu, D Feng, M Zhang, X Wu, X Yao… - Future Generation …, 2023 - Elsevier",https://scholar.google.com//citations?user=aFf4H_kAAAAJ&hl=zh-CN&oe=GB&oi=sra," We first present the system architecture that enables distributed deep learning with heterogeneous computing resources. Then, we present the functionality of each module in HeterPS, "
WILS-TRS—A novel optimized deep learning based intrusion detection framework for IoT networks,"B Jothi, M Pushpalatha - Personal and Ubiquitous Computing, 2023 - Springer",https://scholar.google.com//citations?user=iakpcM0AAAAJ&hl=zh-CN&oe=GB&oi=sra," With the advent of machine and deep learning algorithms [8,  Even though Machine and Deep learning algorithm-based  Hence, the proper selection of deep learning algorithms is "
Novel cuckoo search-based metaheuristic approach for deep learning prediction of depression,"K Jawad, R Mahto, A Das, SU Ahmed, RM Aziz… - Applied Sciences, 2023 - mdpi.com",https://scholar.google.com//citations?user=FIoRoxgAAAAJ&hl=zh-CN&oe=GB&oi=sra," Therefore, our proposed optimized deep learning technique for detecting and assessing depression prioritizes security and accuracy to ensure that patients’ sensitive information is "
Data-driven and physics-informed deep learning operators for solution of heat conduction equation with parametric heat source,"S Koric, DW Abueidda - International Journal of Heat and Mass Transfer, 2023 - Elsevier",https://scholar.google.com//citations?user=xxF-4YgAAAAJ&hl=zh-CN&oe=GB&oi=sra," Deep Learning, a subset of machine learning inspired by the  surrogate deep learning models have been trained to learn  dataset needed to train a deep learning model; for example, "
Predicting topographic disease progression and treatment response of pegcetacoplan in geographic atrophy quantified by deep learning,"WD Vogl, S Riedl, J Mai, GS Reiter, D Lachinov… - Ophthalmology …, 2023 - Elsevier",https://scholar.google.com//citations?user=Idt-4SkAAAAJ&hl=zh-CN&oe=GB&oi=sra," We employed previously validated deep learning models to segment GA lesions, PR layers, and HRF in SD-OCT images, both at baseline and 1-year follow-up (Fig 1).27, 28, 29, 30 All "
Automated crack detection and crack depth prediction for reinforced concrete structures using deep learning,"KC Laxman, N Tabassum, L Ai, C Cole… - Construction and Building …, 2023 - Elsevier",https://scholar.google.com//citations?user=ScTpM7YAAAAJ&hl=zh-CN&oe=GB&oi=sra, Keras and TensorFlow were used to develop and implement the deep learning models in this study. Keras was selected because the framework is easy to use and it also gives clear 
Deep learning-based face detection and recognition on drones,"M Rostami, A Farajollahi, H Parvin - Journal of Ambient Intelligence and …, 2024 - Springer",https://scholar.google.com//citations?user=muL7sJ4AAAAJ&hl=zh-CN&oe=GB&oi=sra," Moreover, we aim to employ deep neural network to perform these tasks and reach an enhanced top performance. Experimental evaluation of the proposed framework compared to "
Anatomically interpretable deep learning of brain age captures domain-specific cognitive impairment,"C Yin, P Imms, M Cheng, A Amgalan… - Proceedings of the …, 2023 - National Acad Sciences",https://scholar.google.com//citations?user=RILgdb4AAAAJ&hl=zh-CN&oe=GB&oi=sra," , as revealed via deep learning of anatomic magnetic resonance images, reflects patterns of structural change related to cognitive decline. Our interpretable deep learning estimates that "
CanDiag: fog empowered transfer deep learning based approach for cancer diagnosis,"A Pati, M Parhi, BK Pattanayak, B Sahu, S Khasim - Designs, 2023 - mdpi.com",https://scholar.google.com//citations?user=hLvGrrkAAAAJ&hl=zh-CN&oe=GB&oi=sra," based on Transfer Deep Learning (TDL) that makes use of Fog computing. This paper details an automated, real-time approach to diagnosing breast cancer using deep learning (DL) "
xCCL: A Survey of Industry-Led Collective Communication Libraries for Deep Learning,"A Weingram, Y Li, H Qi, D Ng, L Dai, X Lu - Journal of Computer Science …, 2023 - Springer",https://scholar.google.com//citations?user=B5WAkz4AAAAJ&hl=zh-CN&oe=GB&oi=sra," Machine learning techniques have become  ones for deep learning workloads. We investigate the design features of these xCCLs, discuss their use cases in the industry deep learning "
Detection and classification of lung diseases for pneumonia and Covid-19 using machine and deep learning techniques,"S Goyal, R Singh - Journal of Ambient Intelligence and Humanized …, 2023 - Springer",https://scholar.google.com//citations?user=8ehP-vMAAAAJ&hl=zh-CN&oe=GB&oi=sra," KNN), ensemble classifier, and deep learning classifier are used for classification. For accurate detection of lung disease, deep learning architecture has been proposed using recurrent "
SCNet: A deep learning network framework for analyzing near-infrared spectroscopy using short-cut,"Z Li, D Wang, T Zhu, C Ni, C Zhou - Infrared Physics & Technology, 2023 - Elsevier",https://scholar.google.com//citations?user=XrSuGeIAAAAJ&hl=zh-CN&oe=GB&oi=sra, that the deep learning methods like CNN and SCNet outperform the other machine learning  We can also find that in the deep learning models the SCNet shows a higher R 2 and lower 
Automatic robot Manoeuvres detection using computer vision and deep learning techniques: a perspective of internet of robotics things (IoRT),"HB Mahajan, N Uke, P Pise, M Shahade… - Multimedia Tools and …, 2023 - Springer",https://scholar.google.com//citations?user=5OvNUVoAAAAJ&hl=zh-CN&oe=GB&oi=sra, a revolutionary framework using computer vision and deep learning. In contrast to robotic path  efficient computer vision techniques and a deep learning classifier. The computer vision 
Radiomics and deep learning for disease detection in musculoskeletal radiology: an overview of novel MRI-and CT-based approaches,"B Fritz, HY Paul, R Kijowski, J Fritz - Investigative radiology, 2023 - journals.lww.com",https://scholar.google.com//citations?user=DpygH5cAAAAJ&hl=zh-CN&oe=GB&oi=sra, A growing number of novel deep learning–based methods  Initial radiomics and deep learning techniques have focused  radiomics- and machine learning–based magnetic resonance 
Workload time series prediction in storage systems: a deep learning based approach,"L Ruan, Y Bai, S Li, S He, L Xiao - Cluster Computing, 2023 - Springer",https://scholar.google.com//citations?user=YH_aXRsAAAAJ&hl=zh-CN&oe=GB&oi=sra," output, deep learning method gains  , deep learning methods perform better than traditional regression models. However, to the best of our knowledge, how to perform a deep learning "
Improved deep learning method for accurate flow field reconstruction from sparse data,"J Zhang, J Liu, Z Huang - Ocean Engineering, 2023 - Elsevier",https://scholar.google.com//citations?user=6qbClpgAAAAJ&hl=zh-CN&oe=GB&oi=sra," The use of deep learning technology has revolutionized the field of fluid dynamics by not  Fortunately, deep learning technology can accurately reconstruct distorted results, making flow "
Large language models are zero-shot fuzzers: Fuzzing deep-learning libraries via large language models,"Y Deng, CS Xia, H Peng, C Yang, L Zhang - Proceedings of the 32nd …, 2023 - dl.acm.org",https://scholar.google.com//citations?user=hxbCeZIAAAAJ&hl=zh-CN&oe=GB&oi=sra,"Deep Learning (DL) systems have received exponential growth in popularity and have become ubiquitous in our everyday life. Such systems are built on top of popular DL libraries, eg, "
Multiple health indicators fusion-based health prognostic for lithium-ion battery using transfer learning and hybrid deep learning method,"Y Ma, C Shan, J Gao, H Chen - Reliability Engineering & System Safety, 2023 - Elsevier",https://scholar.google.com//citations?user=sMt7M9YAAAAJ&hl=zh-CN&oe=GB&oi=sra," Compared with machine learning methods, deep learning technology has more powerful capabilities than traditional machine learning in the fields of feature extraction and regression "
Physics-aware deep learning framework for linear elasticity,"AM Roy, R Bose - arXiv preprint arXiv:2302.09668, 2023 - arxiv.org",https://scholar.google.com//citations?user=gKQtYFcAAAAJ&hl=zh-CN&oe=GB&oi=sra," In the present work, an efficient data-driven deep learning computational framework has been presented based on the fundamentals of PINNs for the solution of the linear elasticity "
From sequence to function through structure: Deep learning for protein design,"N Ferruz, M Heinzinger, M Akdel… - Computational and …, 2023 - Elsevier",https://scholar.google.com//citations?user=Vep1gWoAAAAJ&hl=zh-CN&oe=GB&oi=sra," with advances in computing hardware to learn patterns from growing biological databases,  To facilitate this, we 1) document recent advances in deep learning (DL) assisted protein "
Cloud-based email phishing attack using machine and deep learning algorithm,"UA Butt, R Amin, H Aldabbas, S Mohan… - Complex & Intelligent …, 2023 - Springer",https://scholar.google.com//citations?user=W1s-fU8AAAAJ&hl=zh-CN&oe=GB&oi=sra," In this scenario, we used different machines and a deep learning algorithm to classify the result to  Long short-term memory (LSTM) is a deep learning (D L ) algorithm well-known text "
Design and analysis of a deep learning ensemble framework model for the detection of COVID-19 and pneumonia using large-scale CT scan and X-ray …,"X Xue, S Chinnaperumal, GM Abdulsahib, RR Manyam… - Bioengineering, 2023 - mdpi.com",https://scholar.google.com//citations?user=L-z-dYgAAAAJ&hl=zh-CN&oe=GB&oi=sra, Deep learning (DL) and artificial intelligence (AI learning approaches are also employed to solve content gaps and shorten training duration. An upgraded VGG16 deep transfer learning 
